Family,Scientific Name,Common Name,Duration,Habit,Light,Soil Moisture,Height,Color,Bloom Period,Notes
Apocynaceae,Asclepias tuberosa,Butterfly Milkweed,Perennial,Herb,Sun,Dry - Medium,1' - 3’,Orange,May - September,"Butterfly Milkweed is a wonderful horticultural plant for landscaping to attract butterflies (particularly monarchs), whose numbers are declining and migratory routes changing due to lack of appropriate habitat. Butterfly milkweed also has strikingly beautiful flowers."
Annonaceae,Asimina triloba,PawPaw,Deciduous,Tree,Sun - Shade,Medium,15' - 40',Purple,May,"The appearance of this tree gives a tropical flavor to temperate gardens and provides edible landscaping. Pawpaws can serve as a screen or can be grown in a container as a specimen tree. Both trees and shrubs have a conical pyramid-like shape when grown in sun, and a more open structure if grown in shade. They can be planted in the shade of tall, open trees or in partial shade, although they fruit best in sun. If planting in open sun, provide a shading structure to allow filtered sun for the first few years. The plants prefer moist, slightly acidic soils and require regular watering, but are adaptable to many conditions. They do not perform well in poorly drained soils and need protection from the wind. At least two plants are needed for cross-pollination."
Asteraceae,Baccharis halimifolia,"Groudnsel-tree, Eastern Baccharis",Deciduous,Shrub,Sun - Part Shade,Medium - Wet,5' - 10',White,August - December,"Groundsel tree grows on beaches, marshes and hammocks near the shore, and various more inland sites, including old fields, and roadsides. Flowering in the United States occurs mainly in August-December. Groundsel tree can be cultivated in a sunny location. It does not tolerate heavy clay soils but can be successfully grown in nutrient-poor soil. Most native coastal plain habitats are sandy. In its resistance to salt spray, it is useful in coastal situations"
Fabaceae,Baptisia tinctoria,"Wild indigo, Horseflyweed",Perennial,Herb,Sun- Part Sun,Dry,2' - 3',Cream to Yellow,May - September,"Horsefly weed is a good ground cover in dry sunny locations due to its shrubby habit, and extensive root system. It is a native legume, fixes atmospheric nitrogen in the soil and can be part of a good wildlife seed mixture where native grasses and forbs are seeded together."
Betulaceae,Betula alleghaniensis,Yellow Birch,Deciduous,Tree,Part Shade - Shade,Medium - Wet,70' - 100',"Yellow, green, brown",April - May,"Yellow Birch is a good lawn tree, providing relatively light shade, and it has showy bark and fall foliage colors. It also is a good edge tree for naturalized areas. Although yellow birch grows best in full sun, cherry birch is better suited to hotter or drier sites."
Betulaceae,Betula lenta,Sweet Birch or Black Birch,Deciduous,Tree,Part Shade - Shade,Medium,60' - 80',"Yellow (male), green (female)",April - May,Sweet Birch has dark bark and a moderate height.
Betulaceae,Betula nigra,River Birch,Deciduous,Tree,Full Sun - Part Shade,Medium - Wet,40' - 70',"Brown (male), Green (female)",February - March,"River birch is at home on somewhat poorly drained to well drained soils making it an easy choice for riparian buffers throughout the range of the species. The bark is
exfoliating; gray-brown to ivory or copper colored.  River birch is useful in native-oriented landscapes. It has a balanced and well-formed growth habit and interesting features through all seasons."
Betulaceae,Betula populifolia,Gray Birch,Perennial,Tree,Sun - Shade,Medium,30' - 40',"Green, brown",April,Gray birch is an attractive tree that is often used as a winter landscape plant or when space limitations require the use of trees with a smaller stature. It can also be planted as a nurse tree to protect more valuable pines in the landscape that require protection to become established.
Poaceae,Calamagrostis canadensis,Bluejoint,Perennial,Graminoid,Sun - shade,Wet,2' - 6',Green,June - August,"Bluejoint is a mid-sized to tall native grass useful for wetland restoration and enhancement as well as shoreline and streambank stabilization. Creeping underground shoots (rhizomes) improve the plants ability to bind soil, especially along higher gradient streams and waterways."
Cyperaceae,Carex comosa,Longhair sedge,Perennial,Graminoid,Part Shade,Wet,3',Green,April - July,Longhair sedge is a wetland species with intermediate height.
Cyperaceae,Carex crinita,Fringed Sedge,Perennial,Graminoid,Part Shade - Shade,Wet,4',Green,June - August,An evergreen sedge that has large seed heads that droop down giving it a unique appearance.
Cyperaceae,Carex lurida,Shallow sedge,Perennial,Graminoid,Part Shade,Wet,4',Green,June - August,Shallow sedge is a wetland species of grass that has an interesting seed head with an almost bottle brush like appearance.
Cyperaceae,Carex pensylvanica,Pennsylvania sedge,Perennial,Graminoid,Sun - Shade,Medium - Dry,0.5-1',Green,May - July,"Pennsylvania sedge a low growing sedge that does well in the shade, can be used as a ground cover."
Cyperaceae,Carex scoparia,Broom sedge,Perennial,Graminoid,Sun - Part Shade,Wet - Medium,1' - 3',Green,July - August,"A small sedge usually found in wet meadows, with a broom like inflorescence."
Cyperaceae,Carex stipata,Awlfruit sedge,Perennial,Graminoid,Sun - Part Shade,Wet,1-3',Green,June - July,A small wetland sedge.
Cyperaceae,Carex stricta,Tussock Sedge,Perennial,Graminoid,Sun,Wet,2' - 5',Green,June,"A sedge found in wet meadows, marshes, and floodplains."
Cyperaceae,Carex vulpinoidea,Fox sedge,Perennial,Graminoid,Sun,Wet,1' - 3',Green,June - July,"A sedge found in wet meadows, and along rivers and lakes."
Betulaceae,Carpinus caroliniana,American Hornbeam,Deciduous,Tree,Sun - Shade,Medium - Wet,30 - 65',"Yellow, green",March - May,"American hornbeam is a native, large shrub or small tree, it prefers deep, fertile, moist, acidic soil and grows best in partial shade, but will grow in full sun."
Juglandaceae,Carya glabra,Pignut Hickory,Perennial,Tree,Sun - Shade,Medium,60' - 100',"Yellow, green, brown",April,"Pignut hickory is a common but not abundant species in the oak-hickory forest association in Eastern United States. Pignut hickory is an important shade tree in wooded suburban areas over most of the range, they provide food to many kinds of wildlife."
Juglandaceae,Carya ovata,Shagbark Hickory,Deciduous,Tree,Sun - Part Shade,Medium,60' - 100',Greenish Brown,March - June,"Shagbark hickory is probably the most distinctive of all the hickories because of its loose-plated bark. Shagbark hickory is evenly distributed throughout the Eastern States and, together with pignut hickory, furnishes the bulk of the commercial hickory. The tough resilient properties of the wood make it suitable for products subject to impact and stress. The sweet nuts, once a staple food for American Indians, provide food for wildlife."
Juglandaceae,Carya tomentosa,Mockernut hickory,Deciduous,Tree,Part Shade,Dry,72' - 100',Yellow,April - May,"Mockernut hickory, is the most abundant of the hickories. It is long lived, sometimes reaching the age of 500 years. A high percentage of the wood is used for products where strength, hardness, and flexibility are needed. It makes an excellent fuelwood, too."
Rhamnaceae,Ceanothus americanus,New Jersey Tea,Deciduous,Shrub,Sun,Dry,2' - 3',White,May - June,"New Jersey Tea is a pretty shrub that can be cultivated for its fragrant white flower clusters and leaves for tea. Deer love this plant, if you have a large population of deer nearby prevent access to the plant (bell cover, fencing, sprays, etc)."
Cannabaceae,Celtis occidentalis,Common Hackberry,Deciduous,Tree,Sun - Part Shade,Medium - Wet,40' - 60',Green,May,"Hackberry is commonly found on rich, moist sites along stream banks or on flood plains, but will perform well under more adverse conditions. It tolerates alkaline or acid soil conditions, full sun, and wind."
Rubiaceae,Cephalanthus occidentalis,Buttonbush,Deciduous,Shrub,Sun - Part Shade,Wet,12',White,June - September,"Common buttonbush's showy flowers and fruit make it a popular choice for use in native plant gardens, shrub borders, and along pond shores and water gardens. The persistent fruits give the plant some winter interest."
Plantaginaceae,Chelone glabra,White Turtle-head,Perennial,Herb,Part Shade - Shade,Wet,2' - 3',"White, Pink, Purple",July - October,A wetland species that gains it's name from the flower resembling a tortoise head.
Asteraceae,Chrysopsis mariana,Maryland goldenaster,Perennial,Herb,Sun - Part Shade,Dry - Medium,1' - 2.5',Yellow,August - October,"A late blooming yellow flower, that prefers drier soils."
Clethraceae,Clethra alnifolia,Summersweet,Deciduous,Shrub,Sun - Part Shade,Wet,8',White,July - August,The foliage and flowers of coastal sweet pepperbush make it an attractive garden shrub. It can be used in a mixed shrub hedge or border and pruned to maintain a small size. The lush green leaves turn to golden yellow in autumn. The fragrant flowers last up to 6 weeks or more during the middle of summer while other flowering shrubs are not blooming due to the heat.
Myricaceae,Comptonia peregrina,Sweetfern,Deciduous,Shrub,Sun,Dry,1' - 3',NA,April - May,"This nitrogen-fixing plant is used primarily as a ground cover for erosion control and species diversity in sterile, sandy soils. The abundant underground stems, or rhizomes, makes it especially suited to stabilizing steep, sandy banks. It makes a pleasing companion plant in a coastal setting with the low growing junipers, rugosa rose, bayberry, and beach plum."
Cornaceae,Cornus amomum,Silky Dogwood,Perennial,Shrub,Part Sun - Shade,Wet,6' - 10',White,June,"Young Silky Dogwoods have bright red stems in the fall, winter and early spring, which turn reddish-brown in the summer. As the shrub matures, the stems turn reddish-brown year-round and later gray. Easily forms thickets, making it an effective windbreak."
Cornaceae,Cornus florida,Flowering Dogwood,Deciduous,Tree,Sun - Part Shade,Medium,15' - 40',White or Pink,May,"Flowering dogwood, is a small, bushy tree which rarely attains a height of more than 40 feet or a diameter of 12 to 18 inches. Flowering dogwood is adapted to most upland sites
but grows best on rich, well-drained soils."
Cornaceae,Cornus racemosa,Gray Dogwood,Deciduous,Shrub,Sun - Part Shade,Medium,6' - 10',White,June - July,"Gray Dogwood, is a thickly branched, slow growing dogwood seldom more than 6 feet high at maturity. Its flowers, which bloom in June or July, are white and loosely clustered, and its white fruit, which appears in September and October, is set off by bright red fruit-stalks. Gray dogwood has a range of adaptability equaled by few other shrubs, and it tolerates many climatic conditions."
Cornaceae,Cornus sericea,Redosier Dogwood,Deciduous,Shrub,Sun - Part Shade,Medium - Wet,4' - 20',White,May - June,"Redosier Dogwood is a woody deciduous shrub generally 4 -20 ft tall. The bark and twigs are reddish to purple and fairly smooth from autumn to late spring; after the leaves have fallen, the deep burgundy branches add color to the winter landscape. Redosier dogwood is common on the edges of lakes, ponds, within wetlands, and along streams"
Poaceae,Danthonia spicata,Poverty oatgrass,Perennial,Graminoid,Sun - Shade,Dry,1' - 3',Green,May - July,"Bunch grass that thrives in dry soil, and is a pioneer species after fires."
Ebenaceae,Diospyros virginiana,Common Persimmon,Perennial,Tree,Part Shade,Dry,36' - 72',Yellowish Green,March - June,"Common persimmon grows over a wide range of conditions from dry, sterile, sandy woodlands to river bottoms to rocky hillsides.  It thrives in full sun but also is shade-tolerant and can persist in the understory. This species flowers in March - June and fruits in September-November."
Poaceae,Distichlis spicata,Marsh spike-grass,Perennial,Graminoid,Sun,Wet,1' - 3',Yellow,April - June,"Saltgrass is found in saline areas, brackish marshes, and in salt flats along the coasts of the Atlantic and Pacific Oceans."
Dryopteridaceae,Dryopteris marginalis,Marginal woodfern,Perennial,Herb,Part Shade - Shade,Medium,1' - 3',NA,NA,An evergreen fern that does not colonize and tolerates a wide range of soil and light conditions.
Cyperaceae,Eleocharis obtusa,Blunt spike-rush,Annual,Graminoid,Sun,Medium,1' - 3',NA,June - November,"A small annual grass with a distinct terminal bud. It grows in full sun with wet soil, such as wet meadows, riverbanks, or shallow ponds."
Poaceae,Elymus riparius,Riverbank wildrye,Perennial,Graminoid,Part Shade - Shade,Wet,4',Yellow,July,A grass found in moist edges of forests and streambanks.
Poaceae,Elymus virginicus,Virginia wild rye,Perennial,Graminoid,Sun - Part Shade,Medium,3',NA,March - May,"Virginia wildrye is a native, cool season, perennial, bunch grass. Virginia wildrye has a very broad distribution, a testament to its adaptability. Virginia wildrye will tolerate a wide range of soil textures, from coarse sands to heavy clay. It prefers heavier soils with moderate fertility and a pH between 5 and 7. It has a moderate tolerance of drought, it will not tolerate saline conditions."
Poaceae,Eragrostis spectabilis,Purple lovegrass,Perennial,Graminoid,Sun,Medium - Dry,1' - 3',Purple,August - September,"Purple lovegrass is a native, warm-season, perennial bunch grass. The height is between 1 and 3 feet and this grass adds variety to livestock diet but is seldom
abundant enough to be a key management species."
Asteraceae,Eupatorium perfoliatum,Boneset,Perennial,Herb,Sun - Part Shade,Medium,2' - 4',White,July - September,"Common Boneset prefers moist or wet conditions, soil with a significant amount of organic matter, and full to partial sun. It populates a variety of wetland habitats across eastern North America."
Asteraceae,Eurybia divaricata,White Wood Aster,Perennial,Herb,Part Shade - Shade,Dry - Medium,1' - 3',White,August - November,"A shade tolerant Aster, that blooms white in the late summer and fall."
Asteraceae,Euthamia graminifolia,Flat-top goldentop,Perennial,Herb,Sun,Medium,3' - 6',Yellow,July - September,"Flat-top goldentop provides a nectar source for pollinators and is well-suited for use in pollinator restoration. It grows to 3– 6 ft in height with a 1–2 ft
spread."
Fagaceae,Fagus grandifolia,American Beech,Deciduous,Tree,Sun - Part Shade,Dry,50' - 70',Yellowish Green,April - May,"Slow growing shade tolerant tree, needs well drained soil."
Poaceae,Glyceria canadensis,Rattlesnake manna grass,Perennial,Graminoid,Sun - Part Shade,Wet,3',Green,June - August,A bunch grass that grows in wet soils of swamps and floodplains.
Poaceae,Glyceria striata,Fowl manna grass,Perennial,Graminoid,Part Shade - Shade,Wet,3' - 4',Green,June - July,"Fowl mannagrass is a rapidly establishing native species suitable for restoration of swamps, the edges of marshes, ponds, and streams, and other wetland plant communities where an herbaceous understory is desired. It has versatility for use along creeks and ditch bottoms where exposure may vary from full sun to dense shade, thereby improving soil stability beyond the use of woody plants alone."
Hamamelidaceae,Hamamelis virginiana,Witch Hazel,Deciduous,Tree,Sun - Part Shade,Medium,15' - 30',Yellow,September - December,A large shrub with a showy fall bloom of yellow flowers.
Asteraceae,Helenium autumnale,Sneezeweed,Perennial,Herb,Sun - Part Shade,Medium - Wet,3' - 6',Yellow,August - October,Late blooming flower visited by many pollinators.
Asteraceae,Helianthus angustifolius,Swamp sunflower,Perennial,Herb,Sun - Part Shade,Medium - Wet,3' - 6',Yellow,October,Swamp sunflower is the latest fall flowering sunflower and is a valuable late season nectar and pollen source for pollinator species. This forb is an important nectar source for southern migrating Monarch butterflies.
Asteraceae,Heliopsis helianthoides,"False sunflower, Smooth Oxeye",Perennial,Herb,Sun- Part Shade,Dry - Medium,3' - 4',Yellow,July - August,"Smooth oxeye is considered one of the best hardy plants for a wildflower garden border. It performs well in dry (xeric) locations, in poor to average soils, and in full sun to partial shade. Flowering can be extended by removing spent flowers. Staking may be necessary in shady locations."
Malvaceae,Hibiscus moscheutos,"Swamp rose-mallow, Crimson-eyed rose mallow","Annual, Perennial",Forb,Sun,Medium - Wet,3' - 7',"Pink, White",July - September,Popular in gardens for its large showy flowers.
Aquifoliaceae,Ilex glabra,Inkberry,Perennial,Shrub,Sun - Part Shade,Medium - Wet,5' - 10',White,March - June,Inkberry is coming to be recommended and used for ornament as one of the few evergreen shrubs that thrives in continually moist to wet sites and adapts to a wide range of light availability. It provides a larger and faster growing alternative to boxwood hybrids.
Aquifoliaceae,Ilex opaca,American Holly,Evergreen,Tree,Sun - Part Shade,Medium,20-30',Greenish White,April - June,The attractive evergreen foliage and bright red fruit of this small tree make it a very popular for landscaping. The same attributes that allow this tree to be a desirable ornamental make it one of the most sought after greens for Christmas decoration. The firm bright red berries are consumed by white-tail deer and 18 species of birds. The dense foliage also provides cover and nesting habitat for various songbirds.
Aquifoliacea,Ilex verticillata,Winterberry Holly,Deciduous,Shrub,Sun - Part Shade,Medium - Wet,5' - 15',Yellowish White,April - July,"The persistent bright red fruit of this shrub make it very popular for landscaping. It is recommended for planting in shady moist areas, even though its growth and form are best under open grown conditions. It is important to plant both male and females within 40 feet of one another for adequate pollination."
Iridaceae,Iris versicolor,"Northern Blue Flag Iris, Harlequin blueflag",Perennial,Herb,Sun - Part Shade,Medium - Wet,2' -4',Purple,May - July,"This species is primarily utilized for its brightly colored floral display. It is typically encountered in marshes, swamps, wet meadows, along shorelines, and in forested wetlands. It performs best on sites with unconsolidated soils high in organic content, in direct sunlight. It will tolerate moderately brackish water, partial shade, and permanent inundation up to 6 inches deep."
Iteacea,Itea virginica,Virginia Sweetspire,Deciduous,Shrub,Sun - Part Shade,Medium - Wet,3' - 6',White,April - June,Fragrant white flowers in a unique spike during late spring early summer. Can tolerate a range of soil conditions.
Juncaceae,Juncus canadensis,Canadian rush,Perennial,Graminoid,Sun,Wet,1' - 2',Green,Jul,"Grows in wetlands, marshes, river banks, and lake shores."
Juncaceae,Juncus effusus,"Common rush, Soft rush",Perennial,Graminoid,Sun - Part Shade,Wet - Medium,2' - 4',Green,June - August,"Juncus effusus requires moderate summer watering (irrigation), generally 1 - 4 times per month depending on the absorption rate and water retention capacity of the soil. Salt rush plants may need to have their roots in moist or wet soils. These native plants are especially good for stabilizing or restoring disturbed or degraded areas for erosion and slope control."
Juncaceae,Juncus gerardii,Saltmeadow rush,Perennial,Graminoid,Sun,Wet - Medium,2',Brown,May - August,Grows in saltmarshes and shorelines.
Juncaceae,Juncus militaris,Bayonet rush,Perennial,Graminoid,Sun,Wet,3',"Green, Brown",August - October,Grows in shallow water.
Cupressaceae,Juniperus virginiana,Eastern Red-Cedar,Evergreen,Tree,Sun,Medium,40' - 60',Greenish Brown,March - May,"This species has a wide distribution and is found on many types of soil ranging from acid sands to those derived from limestone. It does best on dry soils in full sunlight, and is winter hardy and tolerant of droughty and salty soils. Like most junipers, it is very slow growing and is moderately long lived."
Asteraceae,Kosteletzkya pentacarpos,Virginia saltmarsh mallow,Perennial,Herb,Sun,Wet,3' - 5',Pink,May - October,"In addition to the long flowering period providing great color, the tolerance of Virginia saltmarsh mallow to a variety of soils, salt spray, salt affected soils, and a wide range of moisture levels make it a valuable and versatile ornamental plant."
Fagaceae,Quercus palustris,Pin Oak,Deciduous,Tree,Sun - Part Shade,Medium - Wet,70' - 90',"Yellow, green, brown",March - May,"Due to this species’ form, adaptability, growth rate, longevity, and fall foliar display, it is popular for ornamental usage. Pin oak is utilized by many game species, especially wood ducks, white-tail deer, and wild turkey. Due to its use by these highly sought after animals, pin oak is commonly planted for food plots."
Poaceae,Leersia oryzoides,Rice Cutgrass,Perennial,Graminoid,Sun - Part Shade,Wet,2-5',Green,June - October,"Rice cutgrass can be found in a variety of wet, sunny, and partially shaded sites. However, it is most common near streams, ponds, or beaver areas, and in ditches, canals, or freshwater marshes. This species thrives best in nutrient rich mud and slow
moving or stagnant water. Rice cutgrass is valuable for wildlife habitat improvement, wetland restoration, and erosion control in ditches and other watercourses. The seeds are an important food source for waterfowl, small mammals, and shorebirds. Ducks pull up and consume underground stems (rhizomes). Dense colonies provide cover and habitat for fish, reptiles, and amphibians."
Asteraceae,Liatris spicata,"Marsh blazing star, Gayfeather",Perennial,Herb,Sun,Medium - Wet,3' - 4',Purple,June - September,"Flowers densely packed on spikes, atracts many pollinators."
Lauraceae,Lindera benzoin,"Spice Bush, Northern Spicebush",Deciduous,Shrub,Sun - Shade,Medium - Wet,6' - 15',Yellow,March - April,"Spicebush plants make nicely shaped shrubs with deep green leaves and, if in at least partial sun, the leaves turn bright yellow in the fall. It is a good choice for plantings in shady locations but can also grow in full sun. Moist soil is best."
Altingiaceae,Liquidambar styraciflua,Sweet Gum,Deciduous,Tree,Sun,Medium - Wet,60' - 100',Green,March - May,"Sweetgum is very intolerant to shade but tolerant to flooding. It also tolerates seaside sites if protected from high winds. In the wild, sweetgum grows in bottomland areas
with rich, moist soil, but can tolerate a variety of soil conditions. The tree does not do well planted in locations where roots are limited in their development."
Magnoliaceae,Liriodendron tulipifera,Tuliptree,Deciduous,Tree,Sun - Part Shade,Medium,80' - 120',Greenish Yellow,April - June,"Tulip poplar makes a desirable street, shade, or ornamental tree but the large size it attains makes it unsuited for many sites. Its good points for aesthetic use are: (1) rapid growth (2) pyramidal form (3) resistance to insect and disease damage (4) unusual leaves and attractive flowers, and (5) yellow autumnal color."
Campanulaceae,Lobelia cardinalis,Cardinalflower,Perennial,Herb,Sun - Shade,Wet,2' - 4',Red,July - October,"A prefered source of food for Hummingbirds, will need some protection from deer browsing."
Campanulaceae,Lobelia siphilitica,Blue Lobelia,Perennial,Herb,Sun - Part Shade,Medium - Wet,2' -3',Blue,July - October,"Great blue lobelia is comparatively easy to grow. The capsules can be collected in autumn, usually October. The seeds will germinate without cold stratification, but they need light, so sow the seeds in a flat with a damp fine grade peat lite mix."
Menyanthaceae,Magnolia virginiana,Sweet Bay Magnolia,Broadleaf Evergreen,Tree,Sun - Part Shade,Medium - Wet,20' - 40',White,May - June,"Sweetbay is valued for its beauty, open form, attractive leaves, and its fragrant flowers. It works well in a shrub border or as a single specimen and can be planted next to buildings or in situations with restricted space due to its horizontal crown. It would be a good choice for rain gardens because it can tolerate saturated soils."
Onocleaceae,Matteuccia struthiopteris,Ostrich Fern,Perennial,Fern,Part Shade - Shade,Wet,3' - 6',NA,NA,"Great shade plant, however requires wet soil and room to spread."
Phyrmaceae,Mimulus ringens,Monkeyflower,Perennial,Herb,Sun - Part Shade,Wet,1' - 3',Purple,July - September,"Great flower for stream banks, or rain gardens."
Lamiaceae/Labiatae,Monarda didyma,"Beebalm, Oswego tea",Perennial,Herb,Sun - Part Shade,Medium - Wet,2' - 5',Red,June - September,"Scarlet beebalm prefers moist but well drained soils. It preforms best in full sunlight but is very adaptable to partial shade conditions. It can often be found along stream banks, thickets, road edges and at the borders to woodland openings."
Lamiaceae/Labiatae,Monarda fistulosa,"Wild bergamot, Horsemint, Beebalm",Perennial,Herb,Sun,Dry - Medium,1' - 4',Violet,June - September,"Wild bergamot is used in flower arrangements. Bees, butterflies and hummingbirds use the plant for nectar. This plant is found in upland woods, thickets, and prairies from Quebec to Manitoba and British Columbia south to Georgia, Louisiana, and Arizona."
Lamiaceae/Labiatae,Monarda punctata,Spotted beebalm,"Annual, Biennial, Perennial",Herb,Sun - Part Shade,Dry,1' - 2',"Pink, White",July - September,Striking flowers that are stacked up the stem. A member of the mint family.
Myricaceae,Morella pensylvanica,Northern bayberry,Perennial,Shrub,Sun - Part Shade,Dry - Medium,5-10’,Yellow,April,"Bayberry can grow in wide range of environments and soils, but it grows most vigorously in sandy or peaty and slightly acidic well drained soils receiving full to partial sun. Bayberry is a highly salt spray tolerant and moderately saline and drought tolerant shrub."
Nymphaeaceae,Nuphar lutea,Yellow pond-lily,Perennial,Herb,Sun - Part Shade,Wet,"6"" - 2'",Yellow,May - October,"Yellow pond-lily flowers and leaves are showy and fragrant. For this reason, it is used as an ornamental planting in water gardens and ponds. Yellow pond-lily provides food and shelter for many fish and underwater insects."
Nymphaeaceae,Nymphaea odorata,American white waterlily,Perennial,Herb,Sun - Shade,Wet,"6"" - 1'",White,May - September,Floating plant with a showy white flower.
Nyssaceae,Nyssa sylvatica,"Tupelo, Black Gum",Deciduous,Tree,Sun - Part Shade,Wet,30-50',"White, green, brown",May - June,"Excellent ornamental plant for its straight bole, shapely crown and attractive autumn foliage."
Onocleaceae,Onoclea sensibilis,Sensitive fern,Perennial,Herb,Part Shade - Shade,Medium - Wet,1' - 4',NA,NA,"This Fern is very senstive to frost. Naturally grows in swampy conditions, but can do well in well watered gardens."
Osmundaceae,Osmunda cinnamomea,Cinnamon Fern,Perennial,Fern,Part Shade - Shade,Medium - Wet,2' - 5',NA,NA,This fern produces a unique cinnamon colored frond that gives it its name.
Osmundaceae,Osmunda regalis,Royal fern,Perennial,Herb,Part Shade - Shade,Wet,2' - 5',NA,NA,Large showy fern.
